"hanzi","pinyin","english_definition"
"𣬕","xiě",
"弣","fu2",
"齿","ci2",
"𧣢","hùn",
"𰳗","ang1",
"𩅥","duì",
"䐶","zaam1",
"𥪍","wò",
"䪊","lung4",
"鐓","deoi6",
"鱎","giu2",
"𦩄","tiāo",
"𱚱","ā",
"題","tai4",
"黴","mei4",
"倮","lo2",
"戉","jyut6",
"𨜵","wēn",
"樄","can4",
"𣶏","zip3",
"帇","nip6",
"𨟺","miǎn",
"𧪅","nù",
"𦸗","qí",
"㮷","gai1",
"䋢","biē",
"曣","jin3",
"鐇","faan4",
"瑢","jung4",
"匁","jan6",
"𨀁","lung4",
"霸","baa3",
"蹷","kyut3",
"袡","jim4",
"㪩","sù",
"䋔","bì",
"冉","jim5",
"銹","sau3",
"髤","jau1",
"𩸨","yí",
"𫄥","saai2",
"𨍸","liǔ",
"𩏏","wéi",
"蟸","lai5",
"文","man4",
"𠗦","pang4",
"淂","dak1",
"氘","dou1",
"凭","pang4",
"𡅭","guān",
"𩘝","suǒ",
"赫","haak1",
"誤","ng6",
"𬺃","ngoi4",
"㦍","ngok6",
"𢃕","tà",
"䆈","zi6",
"摹","mou4",
"𧛻","suǒ",
"醥","piu2",
"𪪼","bat1",
"猈","baa6",
"恿","jung2",
"𠤖","me1",
"梪","dau6",
"𦶋","shàn",
"谝","pin4",
"𤱴","měng",
"䯦","mà",
"𩬜","jú",
"𰥢","saai2",
"溮","si1",
"𥀈","zhǎ",
"𰾩","jip6",
"𰺎","paai4",
"𣲙","zeoi2",
"𧑩","xuān",
"摥","tong3",
"歠","zyut3",
"恣","zi3",
"枞","cung1",
"䬤","zàn,zhān",
"谉","sam2",
"𰛥","ji4",
"㕞","caat3",
"䮒","pou1",
"镣","liu4",
"皾","duk6",
"𢀙","jiū",
"𧼮","tì",
"引","jan5",
"𦁇","niàn",
"𩆝","lì",
"𰌂","zing1",
"𢆡","nin1",
"𥲁","liè",
"䐰","sau1",
"䪄","wong4",
"鐕","zaam1",
"鱀","kei3",
"顆","fo2",
"𥕲","jué",
"䴚","gǎng",
"𨔛","tī",
"倨","geoi3",
"戋","zin1",
"𥫹","chén",
"樶","zeoi1",
"𦃤","mù",
"币","bai6",
"𤹡","zhā",
"齗","ngan4",
"𨝋","zhài",
"𰛒","dung1",
"酅","kwai4",
"䋤","yuè",
"鐁","si1",
"𨣵","cuán",
"瑤","jiu4",
"勻","wan4",
"閙","naau6",
"霪","jam4",
"蹹","daap6",
"𤫉","xiè",
"㪛","zhěn",
"𠬍","zeon3",
"䋖","yù",
"冃","mou6",
"𥡽","ài",
"銳","jeoi6",
"髞","cou3",
"𤆾","yí",
"𦯈","qǐn",
"𡠹","daai3",
"𥞄","hé",
