"hanzi","pinyin","english_definition"
"𠹺","maai4",
"涨","zoeng2",
"𦖺","zī",
"珼","bui3",
"军","gwan1",
"𣈥","tou1",
"姆","mou5",
"𣆔","zhòu",
"赑","bai3",
"𩊻","xùn",
"嗌","jik1",
"𦥝","yǎo",
"祯","zing1",
"䅮","cong3",
"倣","fong2",
"汚","wu1",
"𡣾","xiāo",
"饾","dau6",
"慭","jan6",
"閱","jyut6",
"𧌻","sōng",
"闄","jiu2",
"贃","taan3",
"𨊘","shēn,qū",
"咾","lou5",
"𣻖","nóu",
"𤬠","quán",
"褁","gwo2",
"炒","caau2",
"鹘","gwat1",
"𤪲","lai6",
"𤫧","hǎo",
"𩉱","dī",
"𨝩","shān",
"仃","ding1",
"𠰉","chāo",
"𣇢","biē",
"𧡇","yí",
"搓","co1",
"汎","faan4",
"𩴁","gān",
"怙","wu6",
"桄","gwong3",
"𰃮","hok6",
"请","cing2",
"𨀛","cún",
"𧳂","fú",
"挅","do2",
"欀","soeng1",
"𨨸","méng",
"弋","jik6",
"𱊘","cyun3",
"朶","do2",
"𨩨","caa6",
"滶","ngou4",
"誩","ging6",
"𩝿","zhāi",
"𨄚","qiāng",
"𩎥","xì",
"𪾢","jin5",
"瘩","daap3",
"𧶘","loi6",
"𩇽","féi",
"頴","wing6",
"𣇰","lín",
"𨉗","juk6",
"𰱲","zik1",
"䯫","hou6",
"畘","naam4",
"𨷓","jiàn",
"𣚩","chì",
"𠷙","xù",
"䏊","lung4",
"鎯","long4",
"甊","lau5",
"舺","gaap3",
"𤷿","tū",
"霠","jam1",
"蹟","zik1",
"𦜁","fēng",
"竝","bing6",
"𤷆","dōng",
"㕣","jin5",
"䊼","ci2",
"儱","lung5",
"㜜","ngou6",
"髌","ban3",
"㧪","guǐ,wěi",
"雒","lok3",
"𫖇","hoe1",
"涪","fau4",
"現","jin6",
"冕","min5",
"㯓","taap3",
"姀","wo4",
"赓","gang1",
"嗾","sau2",
"祩","zyu3",
"䅰","an2",
"倝","gon3",
"汜","ci5",
"馸","jan6",
"慧","wai6",
"梒","ham4",
"𧌽","biē",
"閶","coeng1",
"贅","zeoi6",
"𦞌","gèng",
"咰","seot1",
"蠻","maan4",
"㶦","jìn",
"𪏖","tuān",
"𨌄","zàng",
"𦻁","dàn",
"㦴","gaak3",
"𧕵","mì",
"䂇","niǔ",
"損","syun2",
"𠫓","tū",
"汈","diu1",
"𣊉","gei2",
"恋","lyun2",
"框","kwaang1",
"诱","jau5",
"𠼕","paai2",
"𩘒","xuǎn,juān",
"𠯑","gwat6",
"拿","naa4",
"欺","hei1",
"廽","wui4",
"朸","lak6",
"𠿥","kuì,guì",
"誣","mou4",
"𪉔","pī",
"𡵷","cóng",
"䐘","koek6",
"䩬","bung2",
"鰨","taap3",
"𥻧","xián,jiān",
"頮","fui3",
"𧱘","mài",
"𤑳","siu1",
"𬀷","shāng",
"𬊜","lo3",
"𡝒","niǎo",
"䮤","hok6",
"䯥","àn,qì",
"槞","lung4",
"𩠈","rěn",
"昤","ling4",
"𮉯","coi3",
"𡾦","niè",
"䏌","hat1",
"𩵏","huà",
"𧰿","ài",
"溸","sou3",
"甌","au1",
"勣","zik1",
"攙","caam1",
"𢛁","dá,chè",
"𡿩","liè",
"霒","jam1",
"蹡","coeng1",
"𩇺","zá",
"窷","liu6",
"䊾","muk6",
"八","baat3",
"銛","cim1",
"皵","zoek3",
"髆","bok3",
"𪇵","gwong2",
"𧎱","bā",
"雄","hung4",
"𰢦","lau5",
"𪕓","guāng",
"涤","dik6",
"珸","ng4",
"凇","sung1",
"姂","fat6",
"㬋","hau4",
"赍","zai1",
"嗸","ngou4",
"𢏈","zhěn",
"祫","haap6",
"䅪","teoi4",
"借","ze3",
"𥓒","xiàn,kàn",
"沖","cung1",
"馺","saap3",
"慙","caam4",
"梔","zi1",
"閰","guk1",
"賿","laau4",
"𠻝","caam1",
"咪","mai5",
"𧰴","hǔ",
"𥭙","zhè,niè",
"蠽","zit3",
"𩢖","mò",
"皨","sing1",
"錫","sek3",
"𦈜","jié",
"㴉","jǐ",
"搏","bok3",
"㾗","loeng6",
"氺","seoi2",
"恅","lou5",
"枀","cung4",
"诣","ngai6",
"𩙥","bat6",
"𩭊","jú",
"㜦","cam4",
"𩎘","páo",
"持","ci4",
"𠚳","kuò",
"欬","kat1",
"𥌩","tè",
"廷","ting4",
"朲","jan4",
"諕","haak3",
"𧩣","nǎo",
"諌","dung2",
"䩮","luk6",
"鰢","maa5",
"𥀬","jim2",
"頠","ngai5",
"𡃂","xiè",
"𡊄","fèn",
"𨶀","tǎ",
"𨻂","yàn",
"䯗","bei2",
"畔","bun6",
"𬃊","zat1",
"昖","jyun4",
"𪚓","lóng",
"𦭟","tā",
"㺨","si1",
"䏆","cou4",
"炜","wai5",
"𥼀","zú",
"鏛","soeng4",
"畆","mau5",
"動","dung6",
"𠳃","hòng",
"𣡗","ruǎn",
"霌","zau1",
"蹛","zai6",
"𡠘","yàng",
"窹","ng6",
"䯃","on1",
"𪗏","qí",
"銍","zat6",
"皯","gon2",
"髈","bong2",
"𧭇","mián",
"𦊐","jù",
"𥻿","ci1",
"雾","mou6",
"𡓿","yín",
"𫺖","wit1",
"𣃧","yǎn",
"涖","lei6",
"珪","gwai1",
"凁","sau1",
"姼","ci2",
"贿","fui2",
"嗺","ceoi1",
"𩗔","něi",
"祥","coeng4",
"蚾","pei4",
"候","hau6",
"沈","sam2",
"糒","bei6",
"馴","seon4",
"慓","piu5",
"梎","au1",
"閲","jyut6",
"谱","pou2",
"䵫","fan1",
"𧙤","duǒ",
"蠷","keoi4",
"𧊾","fán",
"𧕍","yíng",
"𥑐","jiǎ",
"𡦟","pí",
"𢉑","dān",
"𧉅","yī",
"摉","sau1",
"歴","lik6",
"鞇","jan1",
"恇","hong1",
"𡙛","zī",
"杲","gou2",
"话","waa6",
"蠛","mit6",
"拻","fui1",
"欦","him1",
"𪌔","sù",
"廹","baak1",
"𰿈","zim1",
"朤","long5",
"諏","zau1",
"𢕎","zhāng",
"㥇","cán",
"䩨","coeng3",
"𦤦","hot3",
"鰤","si1",
"𠼬","shāng",
"𡉚","huáng,fēng",
"馽","zap1",
"顚","din1",
"𤛭","qún",
"粕","pok3",
"磻","pun4",
"𥞒","tuó",
"䯑","kuāng",
"樚","luk6",
"𨗓","dào",
"昐","fan1",
"𣴨","bí",
"𧞕","liè",
"䋸","ceon4",
"𦊹","lüè",
"鏕","luk6",
"甸","din6",
"勏","bau6",
"袠","dit6",
"𥂩","gu2",
"霎","saap3",
"躍","joek6",
"𩨃","kin4",
"窳","jyu5",
"䊪","lai6",
"䯅","nip6",
"鋇","bui3",
"皱","zau3",
"髂","kaa3",
"需","seoi1",
"𤄫","fān",
"𨷥","xié",
"𩇛","cing1",
"淐","coeng1",
"琤","zang1",
"凃","tou4",
"姮","hang4",
"𪏔","yǔn",
"费","fai3",
"嗴","goeng1",
"𩲃","zhuó",
"𥏙","kuì",
"禗","si1",
"䆖","wang4",
"偋","bing2",
"𥏅","zhí",
"沂","ji4",
"狖","jau6",
"慕","mou6",
"梀","saak3",
"𩫁","mào",
"閬","long4",
"谫","zin2",
"哦","ngo4",
"𣀓","chóu,dǎo",
"蠩","zyu1",
"𨣕","tǎn",
"𩆿","shuāng",
"𪊪","ǒu",
"㲆","ling4",
"佤","ngaa5",
"𬑍","cau2",
"搻","nuò",
"𡊠","jiá",
"歶","jyu4",
"𧇸","qiū",
"恁","jam6",
"𧨀","suō,zuò",
"杬","jyun4",
"䝫","zok6",
"䨳","xì,xī",
"诟","gau3",
"𢤩","lì",
"𨋝","gōng",
"蠕","jyu4",
"拭","sik1",
"欨","heoi2",
"弳","ging3",
"杞","gei2",
"諑","doek3",
"𧘹","taai1",
"䩚","dì,dī",
"𤩪","xiàng",
"𤖬","qǔ",
"鰞","wu1",
"䴠","ou2",
"𧵤","cái,zhù",
"𧏂","xié",
"顜","gong2",
"𢹃","qǐng",
"𥫗","zuk1",
"䯓","kuī",
"樔","caau4",
"𦊽","méng",
"昒","fat1",
"𥎰","fǎ",
"覽","laam5",
"矑","lou4",
"䋲","sing4",
"𩥪","fung1",
"鏗","hang1",
"𩱷","miè",
"甲","gaap3",
"勑","loi6",
"硰","saa1",
"霈","pui3",
"躇","cyu4",
"窥","kwai1",
"䊤","taam4",
"兙","sap6",
"鋉","suk1",
"皫","piu2",
"髴","fat1",
"𧸽","wèi",
"𦽤","jiá",
"𦦕","xiá",
"雺","mung4",
"㜠","ceoi1",
"𦔫","chì,yì",
"𧏻","bì",
"淒","cai1",
"𧿩","gé",
"琦","kei4",
"冽","lit6",
"𧀴","fū",
"姨","ji4",
"𥚊","lù",
"贻","ji4",
"嗦","so1",
"𢦴","wǒ",
"𤂌","kit3",
"禑","ng4",
"蚺","jim4",
"偅","zung3",
"沄","wan4",
"狘","hyut3",
"悏","hip3",
"梺","haa6",
"闞","ham3",
"谭","taam4",
"𰧇","jin4",
"哘","hang4",
"𪊹","zhù",
"蠣","lai6",
"𦍲","xiáng,yàng",
"㲀","zhēn,chēn",
"𨁡","tuǒ",
"𥁃","màng",
"𢕻","shàn",
"𪖛","qiù",
"搵","wan2",
"歰","sap1",
"怳","fong2",
"杮","fai3",
"𣁴","qià",
"谙","am1",
"𤑛","fan1",
"𢯳","xué",
"𠤫","cí",
"蠗","zok6",
"摽","biu1",
"挧","jyu5",
"欢","fun1",
"𥕉","cuò",
"弥","nei4",
"𣞼","joeng5",
"杠","gong1",
"請","cing2",
"𠓊","huī,dān",
"𧆓","cū",
"𤞃","wai3",
"䩔","duò,shān,pán",
"𦏜","yù",
"𧾝","xún",
"鱐","suk1",
"鯹","sing1",
"𪒜","mà",
"𨩆","wai1",
"顖","seon3",
"𧮶","hóu",
"𦜇","kū",
"䰍","cì",
"樆","lei4",
"帑","tong2",
"𥖙","jí",
"昌","coeng1",
"覯","gau3",
"𤗁","cù",
"䋴","niù",
"鏑","dik1",
"甴","zaat6",
"匋","tou4",
"𨸂","paang1",
"𥭝","miào",
"𭎂","zung1",
"霺","mei4",
"躉","dan2",
"𡨅","jú",
"窟","fat1",
"䊦","yè",
"兓","zam1",
"鞉","tou4",
"鋃","long4",
"髮","faat3",
"𥧲","jìn,jǐn",
"雬","fau2",
"𠇷","shēng",
"礦","kong3",
"𧂙","xì",
"䑏","kyun4",
"淌","tong2",
"镰","lim4",
"琠","tin2",
"冯","fung4",
"𨯅","lai6",
"姪","zat6",
"赵","ziu6",
"𰬋","wang4",
"𨶼","shāng",
"禓","joeng4",
"䆒","gau3",
"假","gaa2",
"㯟","luk1",
"汾","fan4",
"狒","fai3",
"悁","gyun3",
"𦗑","zhé",
"梼","tou4",
"闘","dau3",
"谧","mat6",
"哒","daat6",
"𥝠","sī,xiù",
"蠥","jit6",
"䂄","huò",
"𩩾","kāo",
"㲂","cang4",
"𨠸","yǐng",
"𣬸","tiáo",
"𪠽","dong1",
"𠻟","chì",
"皬","hok6",
"搷","tin4",
"𩤛","yóng",
"止","zi2",
"硺","zoek3",
"恭","gung1",
"㷍","leon4",
"杨","joeng4",
"谋","mau4",
"㾛","cam2",
"叆","oi2",
"䝹","wǎn",
"蠑","wing4",
"挩","tyut3",
"歔","heoi1",
"弟","dai6",
"杚","koi3",
"𩧳","zhōu",
"𦐺","xiāo",
"㵒","fai3",
"𡳾","jué",
"𥈉","huàn",
"𨇘","lóng",
"䩖","saa1",
"鱊","wat6",
"𧀚","sī",
"𥠈","zhì,jì",
"𰮙","zo3",
"𣫪","wēi",
"顈","gwing2",
"𤸻","naa1",
"𱭰","wěng",
"𧳜","zhǒu",
"䯿","zeot1",
"樀","dik1",
"帓","mat6",
"显","hin2",
"覩","dou2",
"䋮","jìn",
"𡟚","jing4",
"𡬥","nuó",
"甮","fung6",
"𫛦","wu1",
"𤞍","náo",
"𤞉","shù",
"霴","doi6",
"躃","bik1",
"𣪭","biàn",
"窡","zeot1",
"䋠","bou2",
"兕","zi6",
"扞","hon6",
"銵","hang1",
"髰","tai3",
"𤹸","qí",
"龓","lung5",
"雦","zaap6",
"𰁧","sung2",
"䑉","yíng",
"涾","taap3",
"琒","fung1",
"凩","do2",
"姤","gau3",
"赧","naan5",
"䎟","ér",
"𩈜","duī",
"禍","wo6",
"䆄","zhǎn",
"偁","cing1",
"沰","tok3",
"猄","geng1",
"恻","cak1",
"䨋","nüè",
"梶","mei5",
"𬶲","zoeng6",
"闚","kwai1",
"哔","bat1",
"𥆡","hán",
"衟","dou6",
"䁶","gik1",
"矅","jiu6",
"𫎧","gau3",
"㱼","hoi1",
"𢓒","rán",
"𩓣","xū",
"𰾾","jit6",
"𧌞","qí",
"𡕒","kuà",
"搱","zi6",
"歜","cuk1",
"𰷡","wun6",
"息","sik1",
"𦫤","yán",
"枚","mui4",
"𬮻","wu2",
"𥨜","tū",
"谅","loeng6",
"鬝","haan1",
"叀","zyun1",
"鞋","haai4",
"蠃","lo2",
"𧊚","tóng",
"挣","zang1",
"歎","taan3",
"𭲫","zuk1",
"𰲯","zung1",
"弡","gwat6",
"𢡉","sè",
"杌","ngat6",
"諷","fung3",
"𧭼","chèn",
"閂","saan1",
"𤟣","yíng",
"𧪮","xū,huá",
"鱌","zoeng6",
"𤄿","lik1",
"顂","laai6",
"滢","jing4",
"𣥞","jiǎn",
"䄉","ngo4",
"戇","zong3",
"䯹","cim1",
"樂","lok6",
"𠏰","zhǎi",
"帍","wu6",
"昸","dung1",
"𠐩","chǎn",
"覫","pong2",
"𤯥","chǎn",
"𤸴","suǒ",
"瑠","lau4",
"霶","pong4",
"蹵","cuk1",
"鳄","ngok6",
"𡲥","sang1",
"𢲛","tou4",
"䋒","syu1",
"冏","gwing2",
"銯","mik6",
"髪","faat3",
"𧫥","ān",
"𧘍","jiāng",
"雨","jyu5",
"霨","wai3",
"𥾋","réng",
"䑋","rǎng",
"涸","kok3",
"琌","ling4",
"凫","fu4",
"𤶤","suān",
"赡","sin6",
"𮰉","pang4",
"𤺃","xiāo,jiāo,yāo",
"𥁆","xiā",
"祿","luk6",
"蚨","fu4",
"倳","zi3",
"沪","wu6",
"駎","zau6",
"恽","wan6",
"𮸦","fu3",
"梨","lei4",
"闔","hap6",
"豓","jim6",
"𢹘","jǐng",
"哎","aai1",
"𧕿","fěi",
"衑","ling4",
"䁰","jiǎng",
"伥","coeng1",
"𥋤","cháng",
"𢃭","zhōng",
"㱮","kui2",
"鼷","hai4",
"铆","maau5",
"𪏂","chán",
"鼋","jyun4",
"𮸀","lin6",
"歞","ngap6",
"𣎲","tǎng",
"恩","jan1",
"𡆩","yāo,jiǒng",
"枔","cam4",
"𨺢","fēng",
"谇","seoi6",
"厲","lai6",
"𤠿","qiān",
"蜽","loeng5",
"𤚉","xū",
"挕","dip3",
"𱙧","xū",
"歐","au1",
"𧙝","ché",
"弛","ci4",
"𥈙","là",
"杆","gon1",
"𥙎","mò",
"諹","joeng4",
"𣆧","hào",
"𤉨","fú",
"𱆁","haan1",
"鱆","zoeng1",
"䟬","jau3",
"顄","ham5",
"𠫺","nián,shì",
"𣤈","zé",
"靣","min6",
"戁","naan5",
"䯻","gou3",
"樼","zeon1",
"巿","fat1",
"昺","bing2",
"覥","tin2",
"𠩵","lik6",
"䌚","suk1",
"𦭼","piǎo,bì",
"䥮","zuk1",
"𡼃","pó",
"瑚","wu4",
"㭞","lyut3",
"𧖇","yǒng",
"霰","sin3",
"餶","gwat1",
"𠹻","zam6",
"𨀘","xiáng",
"𧱼","mán",
"𦈐","lin4",
"䋌","jiǎng",
"冁","cin2",
"銱","diu3",
"髜","hiu2",
"𲈖","gá",
"𠬤","jik6",
"阢","ngat6",
"𬣧","fai3",
"𠼭","but1",
"䑅","méng",
"涺","geoi1",
"掇","zyut3",
"琎","zeon3",
"凥","geoi1",
"𦔆","bì",
"𥥈","hóng,wòng",
"赣","gam3",
"𡰆","niè",
"禹","jyu5",
"䇀","róng",
"偭","min5",
"沬","mui6",
"疷","zi1",
"駈","keoi1",
"恷","jau1",
"梢","saau1",
"闆","baan2",
"豕","ci2",
"𤪡","zhēng",
"唀","jau5",
"𡀠","bei6",
"衋","sik1",
"䁲","maai4",
"伟","wai5",
"𩸃","tù",
"𡗗","pěng",
"㲨","róng",
"𧿔","nù",
"𫟇","liu6",
"钸","bou1",
"𩨯","qióng",
"𨵩","pì",
"殘","caan4",
"𨒦","yǐn",
"燬","wai2",
"恛","wui4",
"枖","jiu1",
"谁","seoi4",
"厬","gwai2",
"𣔬","pí",
"蜿","jyun1",
"挏","dung6",
"痥","dyut6",
"歊","hiu1",
"䝷","zi1",
"𥆷","jiù",
"彍","kwok3",
"杈","caa1",
"𠦒","bān",
"諳","am1",
"𧯡","wān,yuè",
"𱈍","joek6",
"𥅔","shì",
"𩎭","yì",
"𩀪","má",
"鰸","keoi1",
"𢲩","kap1",
"𩳏","zhuàn",
"顾","gu3",
"僞","ngai6",
"𪋡","pú",
"戃","tong2",
"䯵","niè",
"樮","jim5",
"𨖏","jiù",
"巹","gan2",
"昴","maau5",
"觗","zi3",
"𬸚","ngok6",
"𦡪","tēng",
"䥰","méng",
"𩌍","jiǎ",
"瑜","jyu4",
"𥗬","lěi",
"𬶬","keoi1",
"攦","lai6",
"𨵦","yú",
"䋎","zhàn",
"养","joeng5",
"菸","jin1",
"鋫","lei4",
"𢦏","zāi",
"騖","mou6",
"𦌋","zhòng",
"𨘲","huì",
"鬧","naau6",
"阔","fut3",
"𨑟","fu2",
"𢄊","guī",
"䫋","wēi,tuí",
"瑈","jau4",
"凗","ceoi4",
"䬓","am3",
"赝","ngaan6",
"𩏽","zhái",
"𧄏","fù",
"閄","wik6",
"𢾃","cán",
"离","lei4",
"䆺","pun1",
"偯","ji2",
"𩬖","zhěn",
"醏","dou1",
"疱","paau3",
"駊","po2",
"悩","nou5",
"𩗏","piāo",
"梤","fan4",
"阀","fat6",
"豏","haam5",
"𩫍","mèi",
"哺","bou6",
"𨠒","faan5",
"𤬕","xī",
"衍","jin2",
"䁬","cang4",
"伡","ce1",
"鿺","mak6",
"𣣹","hē",
"㲪","dang1",
"𩧩","xiàn",
"哌","paai3",
"钲","zing1",
"𤂲","hóng",
"藀","jing4",
"𢮊","yà",
"𨒧","shì",
"殊","syu4",
"𦁕","hū",
"燞","ziu3",
"恕","syu3",
"析","sik1",
"𬟁","jik6",
"謳","au1",
"𥽗","lì",
"厮","si1",
"蜹","jeoi6",
"挑","tiu1",
"欼","zyut3",
"𩣴","qiè",
"彇","siu1",
"𤿴","lù",
"暂","zaam6",
"偩","fu6",
"𡏀","zhí",
"諥","zung3",
"𩔇","gǎo",
"芭","baa1",
"鱲","lip6",
"𢕪","jiào",
"𩂹","yì",
"顰","pan4",
"𠪻","fù",
"𤳪","yè",
"𣟊","niǎo",
"懽","fun1",
"䰧","fu1",
"樨","sai1",
"巻","gyun2",
"𠸄","jing1",
"昦","hou6",
"𤊲","nǎo",
"觑","ceoi3",
"𤿲","fu1",
"𩞃","shǎng,xiǎng",
"䥪","hin2",
"𧀵","jiàn,shǎn",
"瑖","dyun3",
"𱅊","zi3",
"攘","joeng4",
"𢠡","sào",
"𥚾","zōng",
"𢽹","mǐn",
"𥴮","bó",
"䋈","rú,nǎ",
"䫓","ng4",
"𢙱","lung6",
"鋝","lyut3",
"騘","cung1",
"𩌆","suǒ",
"阎","jim4",
"𩂽","lóng",
"擨","je4",
"𧶶","faan3",
"𩲡","guǐ",
"䫅","sàn",
"琺","faat3",
"凑","cau3",
"𫛬","tou4",
"𦧟","tà",
"𦤨","wò",
"趏","gwaat3",
"禵","tai4",
"䆬","wan5",
"䔰","fu3",
"𩢽","qióng",
"沘","bei2",
"疳","gam1",
"独","duk6",
"患","waan6",
"棞","gwan6",
"阂","hat6",
"豁","kut3",
"靥","jip3",
"哼","hang1",
"𱊃","lei4",
"衇","mak6",
"䧟","haam6",
"伛","jyu2",
"𦋋","jì",
"𣉄","chí",
"㲤","seoi1",
"𬭽","bik1",
"筣","lei4",
"钴","gu2",
"藂","cung4",
"𠓪","qí",
"殄","tin5",
"燘","mui5",
"恗","fu1",
"枂","wut6",
"𠶹","hé",
"謭","zin2",
"𫗣","bit6",
"叨","tou1",
"𣆤","fong2",
"𨂺","wān",
"蜫","gwan1",
"𧓎","pí,bī",
"捋","lyut3",
"橶","gik1",
"㮈","noi6",
"彉","kwok3",
"晴","cing4",
"𧷛","kuì",
"鶷","hat6",
"諟","si6",
"𩩗","shē",
"𦙹","bàn",
"龅","baau6",
"蜝","kei4",
"𧎪","qí",
"鱴","mit6",
"𨸑","qiǎo",
"𦙋","dū",
"顪","fui3",
"㼤","kit3",
"𦇄","lěi",
"𤽥","luò",
"懯","fu1",
"䰡","ci3",
"横","waang4",
"帵","wun1",
"𥄗","wò,nài",
"晠","cou4",
"䄍","zaa3",
"觓","kau4",
"𣁵","dǒu",
"䏛","ceon2",
"䥜","jiàn",
"鬠","kut3",
"𠔃","hai4",
"攒","cyun4",
"𥃔","qú",
"𡔪","shù",
"𡡣","guk1",
"𣨺","gǔ",
"䇺","dòu",
"䫕","dié",
"𧱝","jué,jùn",
"鋗","hyun1",
"騒","sou1",
"𤉫","kài",
"阐","zin2",
"扪","mun4",
"𦃽","yōng",
"䫇","rán",
"琴","kam4",
"凓","leot6",
"𩨞","sǎ",
"𥮧","yè",
"趉","gwat6",
"禧","hei1",
"䆦","sam1",
"偛","zaap3",
"𦦃","ní",
"泒","gu1",
"疭","zung3",
"猦","fung1",
"悥","ji3",
"棐","fei2",
"闼","taat3",
"谻","gik1",
"𦺥","dū",
"哶","me1",
"𤾦","chóu",
"衹","zi2",
"位","wai6",
"閝","ling4",
"䣟","caam4",
"㲖","siu1",
"𫭨","baat6",
"牜","ngau4",
"䭵","faan4",
"钮","nau2",
"𮸗","hin2",
"薼","can4",
"𱊈","jik6",
"殆","toi5",
"𢉤","jià",
"燚","jik6",
"徑","ging3",
"枼","jip6",
"謯","ze1",
"𣎆","luò",
"叚","gaa2",
"蜥","sik1",
"挽","waan5",
"橸","zing1",
"㮂","guk1",
"彃","bat1",
"𧐋","lüè",
"普","pou2",
"𥷚","jū",
"諡","si3",
"𢫦","paak3",
"蜗","wo1",
"𣥂","tà",
"𣥯","zhǒu",
"𬭗","neoi6",
"鱮","zeoi6",
"𤮙","xī",
"顬","jyu4",
"𧣟","yí",
"𨛮","jū",
"戩","zin2",
"䰣","wǎng",
"樤","tiu4",
"𤜲","bèi,pèi",
"帧","zing3",
"晢","zit3",
"轼","sik1",
"觍","tin2",
"𦞱","duǐ",
"䥖","tin4",
"𦊱","guà",
"璂","kei4",
"𥸃","huǐ",
"𥦞","qià",
"靘","cing3",
"葋","keoi4",
"够","gau3",
"肹","jat6",
"䇴","sai1",
"䬏","bù,fǒu",
"鋙","jyu5",
"養","joeng5",
"騄","luk6",
"𥘊","jiào",
"𨲞","tì",
"阊","coeng1",
"𣳩","zī",
"耾","wang4",
"琶","paa4",
"刍","co1",
"𣎸","liǎo",
"𫜔","pei4",
"𤈦","huǐ,méi",
"趋","ceoi1",
"𦷪","seoi1",
"禡","maa6",
"䆨","níng",
"偕","gaai1",
"芯","sam1",
"泔","gam1",
"𧛏","zī",
"猨","jyun4",
"悟","ng6",
"棊","kei4",
"问","man6",
"谽","ham4",
"哨","saau3",
"䆴","gwai1",
"𪎾","tiān",
"䍑","hon2",
"䂚","yáo",
"佇","cyu5",
"𢆴","diǎo",
"𠻧","gǔ",
"䣗","gou1",
"𪊢","shí",
"𨵍","chān",
"𪁀","yù",
"铠","hoi2",
"薮","sau2",
"𨔯","tà",
"殀","jiu2",
"𡈿","zhēn",
"燔","faan4",
"徃","wong5",
"枾","si6",
"𦎭","fú",
"謩","mou4",
"叔","suk1",
"织","zik1",
"蜧","lai6",
"㾆","cim1",
"挷","pong3",
"橲","hei2",
"㮄","bong2",
"張","zoeng1",
"晰","sik1",
"講","gong2",
"𣓕","òu",
"歒","tik1",
"蜙","sung1",
"鱠","kui2",
"𩧓","xiāo",
"顦","ciu4",
"𦎹","lóu",
"𢧗","zhān",
"䔲","dang1",
"戫","juk1",
"䰝","zang6",
"橖","tong4",
"𨱯","miǔ",
"帡","ping4",
"𥭒","dùn",
"晜","kwan1",
"䦆","fok3",
"𦬾","juān",
"覿","dik6",
"𩾾","xiāo,jiāo",
"𪎩","waa1",
"䥘","co3",
"𢧰","guó",
"魌","hei1",
"𦸛","cháo",
"崓","gu3",
"攎","lou4",
"夑","sit3",
"𪺪","lung4",
"䇶","gok3",
"䬁","yí",
"𢨿","jiān",
"鋓","cim1",
"𱇘","hong4",
"駾","teoi3",
"𤷕","cǎi",
"錪","tin2",
"𦔬","qú",
"阼","zou6",
"𠤺","tiáo",
"𨓴","yà",
"葔","hau4",
"䪳","wan5",
"琰","jim5",
"𡛨","kaa1",
"𥴖","pái",
"𠌪","chōu,tāo",
"𢿞","liǎo",
"鶹","lau4",
"超","ciu1",
"𩖵","líng",
"肑","bok3",
"龏","gung1",
"禣","bok3",
"䇢","fu2",
"偗","saang2",
"牿","guk1",
"泎","zaak6",
"駲","zau1",
"悑","bou3",
"棌","coi3",
"𣑁","cung1",
"們","mun4",
"豷","ai3",
"𤯐","yán",
"䶩","jì",
"𦹃","fau4",
"鴶","gat1",
"衵","nik1",
"䂔","xìng",
"佉","keoi1",
"𡟩","xiè",
"遾","sai6",
"㲒","bou6",
"䄏","yú",
"𦺛","chuàn",
"铚","zat6",
"䎥","gaak3",
"薨","gwang1",
"𣡠","mián",
"㖓","hung4",
"爆","baau3",
"彽","dī",
"枸","gau2",
"𨚘","wèi",
"𢧑","tì",
"取","ceoi2",
"𤈩","zhǎ",
"蝡","jyu4",
"㽸","chén",
"丵","zok6",
"橤","jeoi5",
"㭾","gwat6",
"彯","piu1",
"晪","long4",
"謍","jing4",
"勈","jung5",
"蜓","ting4",
"𠸴","xiè",
"坐","zo6",
"𩂳","TAMA",
"鱚","hei1",
"𱩉","wù",
"㒗","toi4",
"𦵼","jùn",
"𨶅","xiāo",
"𱉟","zaak6",
"戥","dang2",
"䰏","jì",
"橐","tok3",
"䍁","seoi6",
"皛","kiu5",
"帣","gyun3",
"𥱸","ōu",
"晎","hung2",
"觹","kwai4",
"𱣄","huí",
"𢡹","chòng",
"𢿏","biào,pāo",
"𠔠","yuè",
"𢬢","diu3",
"䣩","seon4",
"魎","loeng5",
"𮛗","tek3",
"崕","ngaai4",
"䭷","mou4",
"靄","oi2",
"𰹀","do2",
"夋","ceon1",
"𣣎","yù",
"䇰","zing1",
"傥","tong2",
"𩍲","zhī,chàn",
"騀","ngo5",
"阶","gaai1",
"𩎰","suì",
"𢛕","qūn",
"𧵈","gòu",
"䧭","si1",
"獢","hiu1",
"𪽪","zoeng3",
"𫍽","hyun1",
"𣽳","ruán",
"起","hei2",
"𪀭","tóng",
"䶥","zhā,jǔ,chǔ",
"䇔","lo6",
"傑","git6",
"醱","put3",
"猔","zung3",
"惋","wun2",
"𧵔","bui3",
"棆","leon4",
"𤦦","bān",
"闪","sim2",
"豩","ban1",
"䶣","ngoi4",
"䍍","kòu",
"䂆","xù",
"佃","din6",
"㒑","kuǐ,huì",
"㳌","yā",
"铜","tung4",
"齧","ngit6",
"薪","san1",
"殬","dou3",
"侏","zyu1",
"爀","haak1",
"彿","fat1",
"枪","coeng1",
"譕","mou4",
"伳","sit3",
"叐","bat6",
"𧲮","zhǎn",
"蝓","jyu4",
"㽲","jiǎo,xiǔ",
"挳","hang1",
"𩐥","hē",
"橞","wai6",
"㭰","zuī,zuǐ",
"影","jing2",
"鯒","jung2",
"暜","pou2",
"鏈","lin6",
"謇","gin2",
"鼴","jin2",
"勂","hou4",
"𣃝","yǎng",
"𧀆","méng",
"蜅","fu2",
