hanzi,other_hanzi,relation
𦈌,綀,traditional
𦈎,繟,traditional
𦈏,緍,traditional
𦈐,縺,traditional
𦈑,緸,traditional
𦈒,𦂅,traditional
𦈓,䋿,traditional
𦈔,縎,traditional
𦈕,緰,traditional
𦈖,䌈,traditional
𦈗,𦃄,traditional
𦈘,䌋,traditional
𦈙,䌰,traditional
𦈚,縬,traditional
𦈛,繓,traditional
𦈜,䌖,traditional
𦈝,繏,traditional
𦈞,䌟,traditional
𦈟,䌝,traditional
𦈠,䌥,traditional
𦈡,繻,traditional
𦉽,网,semantic
𦌾,𬙪,simplified
𦍆,𬙫,simplified
𦍠,䍽,traditional
𦍩,羖,semantic
𦎹,𰭚,simplified
𦏑,𰭗,simplified
𦐀,舞,semantic
𦒀,𫅥,simplified
𦔖,𫅼,simplified
𦔮,耴,spoofing
𦘧,𡳒,simplified
𦙵,腕,semantic
𦙶,股,semantic
𦙼,骴,semantic
𦚓,胓,semantic
𦚸,𦚹,spoofing
𦚹,𦚸,spoofing
𦛨,朥,traditional
𦜖,𬁺,simplified
𦝛,𮶔,simplified
𦝠,𣎆,spoofing
𦝼,膢,traditional
𦞌,𣎄,traditional
𦞛,𬁸,simplified
𦞣,臊,semantic
𦟐,𬁳,simplified
𦟗,𦣎,traditional
𦟤,饈,semantic
𦟼,𫆝,simplified
𦠅,𫞅,simplified
𦠅,𣎟,spoofing
𦡏,𰗅,simplified
𦡖,𰗆,simplified
𦡝,𫆫,simplified
𦡧,𮌌,simplified
𦡶,𰯂,simplified
𦢈,𣍨,simplified
𦢌,殰,semantic
𦣇,𬂂,simplified
𦣎,𦟗,simplified
𦤀,臭,spoofing
𦤎,臯,semantic
𦤶,致,spoofing
𦥝,舀,spoofing
𦥯,𰃮,simplified
𦧴,𰰆,simplified
𦧺,𫇘,simplified
𦨩,𦪽,traditional
𦪭,𬜔,simplified
𦪽,𦨩,simplified
𦫜,赩,semantic
𦬙,𦿍,traditional
𦭠,𦭫,spoofing
𦭫,𦭠,spoofing
𦰥,𱽨,z-variant
𦰴,䕳,traditional
𦱄,菇,semantic
𦱌,𫇪,simplified
𦲷,蒞,semantic
𦳆,萒,spoofing
𦳝,𰰢,simplified
𦳯,蒁,spoofing
𦴇,𦾵,traditional
𦴧,𮶞,simplified
𦵕,𬝖,simplified
𦶆,𬜺,simplified
𦷝,芻,semantic
𦸷,𬝊,simplified
𦺣,𰱝,simplified
𦺤,𦽩,spoofing
𦻕,蘟,traditional
𦽊,驊,semantic
𦽒,𬝠,simplified
𦽩,𦺤,spoofing
𦾏,𰅻,simplified
𦾵,𦴇,simplified
𦾶,𬞋,simplified
𦿍,𦬙,simplified
𦿭,𮶷,simplified
𧀀,𮶩,simplified
𧀹,蔗,semantic
𧁿,𮏺,simplified
𧂂,𮶬,simplified
𧂅,𬞣,simplified
𧃽,𰱊,simplified
𧅄,蘷,spoofing
𧅄,虁,spoofing
𧈴,𫋧,traditional
𧈿,𬠐,traditional
𧉐,𧕟,traditional
𧉕,蚕,spoofing
𧉞,䗿,traditional
𧋍,蜇,semantic
𧌓,蛗,semantic
𧍕,䖼,simplified
𧏖,蠙,traditional
𧏗,蠀,traditional
𧏻,𬠃,simplified
𧐅,蛆,semantic
𧐐,𰳁,simplified
𧐢,蠔,semantic
𧐱,𬟺,simplified
𧑏,蠾,traditional
𧒖,𰲺,simplified
𧒭,𧔥,traditional
𧒯,𫊹,simplified
𧔥,𧒭,simplified
𧕟,𧉐,simplified
𧕦,𬠷,simplified
𧖦,𬠱,simplified
𧘂,衝,semantic
𧙀,𧞪,semantic
𧛸,𬡎,simplified
𧜁,𬡕,simplified
𧜂,𬡔,simplified
𧜗,䘞,simplified
𧜘,𮷁,simplified
𧜡,𧞔,traditional
𧜣,𬡍,simplified
𧜭,䙱,traditional
𧜵,䙊,simplified
𧜶,𮖃,simplified
𧝝,襰,traditional
𧝞,䘛,simplified
𧞅,𰳻,simplified
𧞔,𧜡,simplified
𧞣,𰳹,simplified
𧞪,𧙀,semantic
𧞫,𫌋,simplified
𧞶,𬡦,simplified
𧟌,𬡠,simplified
𧟱,𧟵,spoofing
𧟵,𧟱,spoofing
𧠈,𬢇,simplified
𧠥,𬢉,simplified
𧠳,𮷄,simplified
𧠵,𬢍,simplified
𧡍,𬢈,simplified
𧡪,𬢏,simplified
𧡴,𫌫,simplified
𧡸,𰴛,simplified
𧢃,𰴚,simplified
𧢄,𫌬,simplified
𧢍,𬢓,simplified
𧢢,𬺟,simplified
𧣴,𬢕,simplified
𧤤,觹,traditional
𧥅,觽,traditional
𧥣,𬣚,simplified
𧥺,𬣝,simplified
𧦝,𫍞,simplified
𧦦,𰵘,simplified
𧦧,𫍟,simplified
𧦭,𬣢,simplified
𧦵,𮷆,simplified
𧧝,𬣨,simplified
𧧭,𬣺,simplified
𧧵,𰵢,simplified
𧧸,𰵬,simplified
𧨊,𬣶,simplified
𧨝,𰵪,simplified
𧨳,𰵳,simplified
𧨾,𬤂,simplified
𧩎,𮷉,simplified
𧩕,𫍭,simplified
𧩙,誕,semantic
𧩙,䜥,simplified
𧩦,𬤅,simplified
𧩧,𬤏,simplified
𧩪,𬤋,simplified
𧩼,𫍶,simplified
𧪞,𬤒,simplified
𧪡,𬤓,simplified
𧪦,𬤕,simplified
𧪪,𬤔,simplified
𧪮,𰵻,simplified
𧫚,𬤈,simplified
𧫝,𫍺,simplified
𧫴,謹,spoofing
𧬁,𰶅,simplified
𧬅,𬤜,simplified
𧬇,𬤞,simplified
𧬌,𬤠,simplified
𧬤,𫍼,simplified
𧬨,噦,semantic
𧬨,𬣪,simplified
𧬪,𬤖,simplified
𧬮,𬤧,simplified
𧬯,𰶋,simplified
𧬻,𬣵,simplified
𧭈,𫍾,simplified
𧭥,𮷇,simplified
𧭹,𫍐,simplified
𧮆,𬤚,simplified
𧮇,𬣴,simplified
𧮈,𬤯,simplified
𧮓,𬤱,simplified
𧮪,詀,traditional
𧰆,𬤷,simplified
𧰊,磌,semantic
𧰎,鿲,simplified
𧱻,𰶨,simplified
𧳕,𧳟,traditional
𧳟,𧳕,simplified
𧴪,𭕆,simplified
𧴯,孭,semantic
𧵊,𬥴,simplified
𧵳,䞌,simplified
𧶄,𬥷,simplified
𧶔,𧹓,simplified
𧶟,𬥹,simplified
𧶧,䞎,simplified
𧶲,𬥼,simplified
𧶶,販,semantic
𧷎,𪠀,simplified
𧷛,𰷨,simplified
𧸖,贃,semantic
𧸖,𰷬,simplified
𧸘,𫎨,simplified
𧸦,𬥾,simplified
𧸪,𬥿,simplified
𧸫,𫬙,simplified
𧹈,𪥠,simplified
𧹑,䞈,traditional
𧹒,買,traditional
𧹓,𧶔,traditional
𧹔,賬,traditional
𧹕,䝻,traditional
𧹖,賟,traditional
𧹗,贃,traditional
𧺣,𧽵,traditional
𧽢,𬦆,simplified
𧽯,𫎸,simplified
𧽵,𧺣,simplified
𧾥,𰷸,simplified
𧿈,𨇁,traditional
𧿛,蹤,traditional
𧿴,跊,spoofing
𧿹,拇,semantic
𨀁,躘,traditional
𨀱,𨄣,traditional
𨁂,𬦯,simplified
𨁔,跳,semantic
𨁴,𨅍,traditional
𨂐,𫏌,simplified
𨂺,𨈊,traditional
𨃘,𬦩,simplified
𨃜,𬦹,simplified
𨃞,𨃟,semantic
𨃟,𨃞,semantic
𨄄,𨈌,traditional
𨄉,𰸎,simplified
𨄣,𨀱,simplified
𨄰,𬦵,simplified
𨅍,𨁴,simplified
𨅛,䠱,traditional
𨅫,𨇞,traditional
𨅬,躝,traditional
𨆅,𬦫,simplified
𨆉,𮛗,simplified
𨆪,𫏕,simplified
𨆱,𬦴,simplified
𨇁,𧿈,simplified
𨇍,𬧑,simplified
𨇗,𬦣,simplified
𨇞,𨅫,simplified
𨇤,𫏨,simplified
𨇯,𰸇,simplified
𨇰,𫏞,simplified
𨇽,𫏑,simplified
𨈀,𬧚,simplified
𨈆,𬧛,simplified
𨈇,𬦾,simplified
𨈊,𨂺,simplified
𨈌,𨄄,simplified
𨈚,𨉉,semantic
𨉉,𨈚,semantic
𨉖,𰿰,simplified
𨉗,軉,traditional
𨉹,𬧩,simplified
𨊠,𰹱,simplified
𨊰,䢀,simplified
𨊸,䢁,simplified
𨊹,𰹻,simplified
𨊻,𨐆,simplified
𨋁,𬨃,simplified
𨋚,𬨅,simplified
𨋢,䢂,simplified
𨋮,𰺆,simplified
𨌄,𮷚,semantic
𨌄,𬨋,simplified
𨌈,𫐍,simplified
𨍈,𰺔,simplified
𨍏,𰺕,simplified
𨍐,𬨏,simplified
𨍒,𰹾,simplified
𨍰,𫐔,simplified
𨍳,軺,semantic
𨍹,𬨐,simplified
𨎌,𫐋,simplified
𨎩,𬨒,simplified
𨎪,𰺚,simplified
𨎮,𨐉,simplified
𨏒,𰺢,simplified
𨏔,𰺌,simplified
𨏠,𨐇,simplified
𨏥,𨐊,simplified
𨐅,軗,traditional
𨐆,𨊻,traditional
𨐇,𨏠,traditional
𨐈,輄,traditional
𨐉,𨎮,traditional
𨐊,𨏥,traditional
𨐶,𰺨,simplified
𨑊,𫯒,simplified
𨑒,徒,semantic
𨑟,撫,semantic
𨑹,䢨,traditional
𨓜,逸,z-variant
𨘀,𮷥,simplified
𨘌,𬩎,simplified
𨙞,遷,semantic
𨝕,𨞨,traditional
𨞨,𨝕,simplified
𨞪,𫜷,simplified
𨞺,𫟫,simplified
𨟊,𫟬,simplified
𨟑,𮷨,simplified
𨟳,𨣞,traditional
𨠨,𨣧,traditional
𨡙,𨢿,traditional
𨡺,𨣈,traditional
𨢥,䤍,semantic
𨢸,𮡈,traditional
𨢿,𨡙,simplified
𨣃,𰼋,simplified
𨣈,𨡺,simplified
𨣉,𬪫,simplified
𨣞,𨟳,simplified
𨣦,藇,semantic
𨣧,𨠨,simplified
𨣨,𰼏,simplified
𨤋,𬪯,simplified
𨤡,𬪺,simplified
𨤰,𨤻,traditional
𨤻,𨤰,simplified
𨥈,𮷵,simplified
𨥕,𮷹,simplified
𨥛,𨱀,simplified
𨥜,𬬴,simplified
𨥟,𫓫,simplified
𨥤,𮷽,simplified
𨥦,𬬳,simplified
𨥭,𮸃,simplified
𨥮,𮷿,simplified
𨥺,𬭂,simplified
𨦍,𮸅,simplified
𨦡,𰽽,simplified
𨦫,䦀,simplified
𨦱,𰾊,simplified
𨧀,𬭊,simplified
𨧐,𰾇,simplified
𨧚,𬭐,simplified
𨧜,䦁,simplified
𨧫,𬭑,simplified
𨧮,䥸,traditional
𨧰,𫟽,simplified
𨧱,𨱊,simplified
𨨏,𬭛,simplified
𨨛,𫓼,simplified
𨨝,𬭘,simplified
𨨢,𫓿,simplified
𨨯,𬭟,simplified
𨨹,𬭞,simplified
𨩃,𮸔,simplified
𨩎,𮸘,simplified
𨩨,𬭠,simplified
𨩰,𫟾,simplified
𨪅,𬇃,simplified
𨪋,𰾨,simplified
𨪕,𫓮,simplified
𨪜,𮸚,simplified
𨪦,𮸙,simplified
𨫀,𬭫,simplified
𨫋,𮸉,simplified
𨫒,𨱐,simplified
𨫼,𰾧,simplified
𨬂,𬭱,simplified
𨬒,𰾳,simplified
𨬖,𫔏,simplified
𨬞,𬬶,simplified
𨬟,𰾵,simplified
𨬫,𮸢,semantic
𨭃,𬭷,simplified
𨭆,𬭶,simplified
𨭌,𬭵,simplified
𨭎,𬭳,simplified
𨭐,𬭙,simplified
𨭖,𫔑,simplified
𨭗,𬭇,simplified
𨭚,𬭺,simplified
𨭛,𰾿,simplified
𨭥,𬬼,simplified
𨭸,𫔐,simplified
𨮁,𰾺,simplified
𨮂,𨱕,simplified
𨮅,𬭹,simplified
𨮰,𬭾,simplified
𨮳,𫔒,simplified
𨮺,鑙,z-variant
𨯂,𮸣,simplified
𨯅,䥿,simplified
𨯗,𮸝,simplified
𨯙,𮸆,simplified
𨯟,𫔓,simplified
𨯵,𬮀,simplified
𨰃,𫔉,simplified
𨰋,𫓳,simplified
𨰘,𮷷,simplified
𨰠,𰿊,simplified
𨰥,𫔕,simplified
𨰭,𬮃,simplified
𨰲,𫔃,simplified
𨰵,𬬇,simplified
𨰷,𬮂,simplified
𨰹,𰿀,simplified
𨰾,鎷,traditional
𨰿,釳,traditional
𨱀,𨥛,traditional
𨱁,鈠,traditional
𨱂,鈋,traditional
𨱃,鈲,traditional
𨱄,鈯,traditional
𨱅,鉁,traditional
𨱆,龯,traditional
𨱇,銶,traditional
𨱈,鋉,traditional
𨱉,鍄,traditional
𨱊,𨧱,traditional
𨱋,錂,traditional
𨱌,鏆,traditional
𨱍,鎯,traditional
𨱎,鍮,traditional
𨱏,鎝,traditional
𨱐,𨫒,traditional
𨱑,鐄,traditional
𨱒,鏉,traditional
𨱓,鐎,traditional
𨱔,鐏,traditional
𨱕,𨮂,traditional
𨱖,䥩,traditional
𨱥,𰿖,simplified
𨲭,𬮄,simplified
𨲳,𫔖,simplified
𨳌,𰿦,simplified
𨳐,𰿧,simplified
𨳑,𨸁,simplified
𨳒,𮤭,simplified
𨳕,𨸀,simplified
𨳙,𮤯,simplified
𨳚,𰿪,simplified
𨳨,𬮜,simplified
𨳸,𰿭,simplified
𨳿,𬮡,simplified
𨴑,𬮣,simplified
𨴗,𨸅,simplified
𨴤,𬮧,simplified
𨴹,𫔲,simplified
𨵆,𬮩,simplified
𨵌,𬮰,simplified
𨵗,𬮯,simplified
𨵤,𬮮,simplified
𨵦,𰿵,simplified
𨵩,𨸆,simplified
𨵬,𬮵,simplified
𨵸,𨸇,simplified
𨶀,𨸉,simplified
𨶏,𨸊,simplified
𨶑,𰿸,simplified
𨶮,𨸌,simplified
𨶯,𮤸,simplified
𨶰,𰿹,simplified
𨶲,𨸋,simplified
𨶹,関,semantic
𨶻,𬮸,simplified
𨶿,𬮹,simplified
𨷈,𬮙,simplified
𨷲,𨸎,simplified
𨷻,𫔱,simplified
𨷿,䦳,traditional
𨸀,𨳕,traditional
𨸁,𨳑,traditional
𨸂,閍,traditional
𨸃,閐,traditional
𨸄,䦘,traditional
𨸅,𨴗,traditional
𨸆,𨵩,traditional
𨸇,𨵸,traditional
𨸉,𨶀,traditional
𨸊,𨶏,traditional
𨸋,𨶲,traditional
𨸌,𨶮,traditional
𨸎,𨷲,traditional
𨸘,𨽏,traditional
𨸚,級,semantic
𨸟,䧢,traditional
𨸬,陣,semantic
𨺓,隆,z-variant
𨻪,陵,semantic
𨻲,罅,semantic
𨻶,隙,semantic
𨻹,𨽈,traditional
𨼳,𫔽,simplified
𨽈,𨻹,simplified
𨽏,𨸘,simplified
𩀨,𫕚,simplified
𩅙,𫕨,simplified
𩅦,𱁞,simplified
𩅾,𫡶,simplified
𩆆,䨶,semantic
𩇉,𮦚,simplified
𩇓,雷,semantic
𩇝,濪,spoofing
𩉍,𬰣,simplified
𩉙,𬰡,simplified
𩉲,鼓,semantic
𩋌,𱁱,simplified
𩋘,鞋,semantic
𩋰,𬰤,simplified
𩍜,𱁳,simplified
𩎒,𬰱,simplified
𩎕,𱂃,simplified
𩎖,𫖑,simplified
𩎟,𱂄,simplified
𩎠,𬰴,simplified
𩎢,𩏾,simplified
𩏂,𫖓,simplified
𩏌,𬰵,simplified
𩏠,𫖖,simplified
𩏪,𩏽,simplified
𩏴,𬰸,simplified
𩏷,𫃗,simplified
𩏼,䪏,traditional
𩏽,𩏪,traditional
𩏾,𩎢,traditional
𩏿,䪘,traditional
𩐀,䪗,traditional
𩐌,𱂍,simplified
𩐳,𮸷,simplified
𩑃,𬰺,simplified
𩑒,𱂠,simplified
𩑔,𫖪,simplified
𩑠,頙,spoofing
𩑡,𱂡,simplified
𩑣,𬱔,simplified
𩑦,𬱕,simplified
𩑵,𩑷,spoofing
𩑷,𩑵,spoofing
𩒎,𫖭,simplified
𩒜,𬱡,simplified
𩒝,𬱝,simplified
𩒲,𬱤,simplified
𩒺,𱂩,simplified
𩒼,𬱥,simplified
𩓣,𩖕,simplified
𩓥,𫖵,simplified
𩓸,𬱧,simplified
𩓹,𬱨,simplified
𩔇,𱂳,simplified
𩔈,𬱭,simplified
𩔊,𬱛,simplified
𩔐,𮸶,simplified
𩔑,𫖷,simplified
𩔖,類,semantic
𩔖,類,spoofing
𩔗,類,semantic
𩔣,𱂷,simplified
𩔳,𫖴,simplified
𩕊,𬱱,simplified
𩕰,𬱲,simplified
𩖁,𬺂,simplified
𩖕,𩓣,traditional
𩖖,顃,traditional
𩖗,䫴,traditional
𩖰,𫠇,simplified
𩖿,𬱺,simplified
𩗀,𩙦,simplified
𩗓,𫗈,simplified
𩗛,𱃛,simplified
𩗡,𩙧,simplified
𩗩,𮷻,simplified
𩗴,𫗉,simplified
𩗺,𮸻,simplified
𩘀,𩙩,simplified
𩘚,𬰲,simplified
𩘝,𩙭,simplified
𩘹,𩙨,simplified
𩘺,𩙬,simplified
𩘻,𬲆,simplified
𩙈,𩙰,simplified
𩙥,颰,traditional
𩙦,𩗀,traditional
𩙧,䬞,traditional
𩙧,𩗡,traditional
𩙨,𩘹,traditional
𩙩,𩘀,traditional
𩙪,颷,traditional
𩙫,颾,traditional
𩙬,𩘺,traditional
𩙭,𩘝,traditional
𩙮,䬘,traditional
𩙯,䬝,traditional
𩙰,𩙈,traditional
𩚅,𬲥,simplified
𩚚,𬲩,simplified
𩚛,𩟿,simplified
𩚥,𩠀,simplified
𩚩,𫗡,simplified
𩚵,𩠁,simplified
𩛆,𩠂,simplified
𩛌,𫗤,simplified
𩛎,𬲴,simplified
𩛞,𬲺,simplified
𩛡,𫗨,simplified
𩛩,𩠃,simplified
𩛲,𬲹,simplified
𩜇,𩠉,simplified
𩜠,𬲿,simplified
𩜦,𩠆,simplified
𩜯,𱄂,simplified
𩜰,𬳃,simplified
𩜵,𩠊,simplified
𩜶,𱄁,simplified
𩝑,𬳇,simplified
𩝔,𩠋,simplified
𩝠,𬳌,simplified
𩝡,𬳈,simplified
𩝣,𬳉,simplified
𩝧,𱄅,simplified
𩝽,𫗳,simplified
𩞃,𬲰,simplified
𩞄,𩠎,simplified
𩞆,𬲪,simplified
𩞉,𬳐,simplified
𩞡,𬲬,simplified
𩞦,𩠏,simplified
𩞧,𱄇,simplified
𩞬,𬳒,simplified
𩞯,䭪,simplified
𩟀,𬳓,simplified
𩟂,𬲸,simplified
𩟐,𩠅,simplified
𩟗,𫗚,simplified
𩟠,𬳔,simplified
𩟿,𩚛,traditional
𩠀,𩚥,traditional
𩠁,𩚵,traditional
𩠂,𩛆,traditional
𩠃,𩛩,traditional
𩠅,𩟐,traditional
𩠆,𩜦,traditional
𩠇,䭀,traditional
𩠈,䭃,traditional
𩠉,𩜇,traditional
𩠊,𩜵,traditional
𩠋,𩝔,traditional
𩠌,餸,traditional
𩠎,𩞄,traditional
𩠏,𩞦,traditional
𩠑,頂,semantic
𩠠,𩠴,traditional
𩠴,𩠠,simplified
𩡖,𩡣,traditional
𩡚,𩡤,traditional
𩡣,𩡖,simplified
𩡤,𩡚,simplified
𩡺,𩧦,simplified
𩢀,𮹄,simplified
𩢍,𬳷,simplified
𩢖,𮹅,simplified
𩢡,𩧬,simplified
𩢰,𱅎,simplified
𩢲,駛,semantic
𩢲,𬳺,simplified
𩢴,𩧵,simplified
𩢸,𩧳,simplified
𩢼,𬳻,simplified
𩢾,𩧮,simplified
𩣊,𱅍,simplified
𩣋,𬳼,simplified
𩣏,𩧶,simplified
𩣑,䯃,simplified
𩣔,𬳹,simplified
𩣡,𱅓,simplified
𩣫,𩧸,simplified
𩣵,𩧻,simplified
𩣺,𩧼,simplified
𩤊,𩧩,simplified
𩤙,𩨆,simplified
𩤲,𩨉,simplified
𩤵,𬴄,simplified
𩤸,𩨅,simplified
𩥃,𱅥,simplified
𩥄,𩨋,simplified
𩥅,𱅣,simplified
𩥇,𩨍,simplified
𩥈,𮹌,simplified
𩥉,𩧱,simplified
𩥎,𱅨,simplified
𩥑,𩨌,simplified
𩥲,𬴇,simplified
𩥼,𬴈,simplified
𩦃,𱅘,simplified
𩦚,𬴉,simplified
𩦠,𫠌,simplified
𩦢,虞,semantic
𩦺,𬴌,simplified
𩧆,𩨐,simplified
𩧉,𱄾,simplified
𩧐,𬴎,simplified
𩧢,𱅒,simplified
𩧦,𩡺,traditional
𩧨,駎,traditional
𩧩,𩤊,traditional
𩧪,䮾,traditional
𩧫,駚,traditional
𩧬,𩢡,traditional
𩧭,䭿,traditional
𩧮,𩢾,traditional
𩧯,驋,traditional
𩧰,䮝,traditional
𩧱,𩥉,traditional
𩧲,駧,traditional
𩧳,𩢸,traditional
𩧴,駩,traditional
𩧵,𩢴,traditional
𩧶,𩣏,traditional
𩧸,𩣫,traditional
𩧺,駶,traditional
𩧻,𩣵,traditional
𩧼,𩣺,traditional
𩧿,䮠,traditional
𩨀,騔,traditional
𩨁,䮞,traditional
𩨃,騝,traditional
𩨄,騪,traditional
𩨅,𩤸,traditional
𩨆,𩤙,traditional
𩨇,䮫,traditional
𩨈,騟,traditional
𩨉,𩤲,traditional
𩨊,騚,traditional
𩨋,𩥄,traditional
𩨌,𩥑,traditional
𩨍,𩥇,traditional
𩨎,龭,traditional
𩨏,䮳,traditional
𩨐,𩧆,traditional
𩨘,肐,semantic
𩨘,胳,semantic
𩩈,䯤,traditional
𩬣,𩭙,traditional
𩬤,𩰀,traditional
𩬾,𩭯,traditional
𩭙,𩬣,simplified
𩭯,𩬾,simplified
𩭹,鬖,traditional
𩯁,𫙂,simplified
𩯃,𱆄,simplified
𩯆,𬴨,simplified
𩯒,𩯳,traditional
𩯭,鬓,semantic
𩯳,𩯒,simplified
𩰀,𩬤,simplified
𩰘,䰗,spoofing
𩰰,𩰹,traditional
𩰹,𩰰,simplified
𩱈,𱆍,simplified
𩲒,𩳤,traditional
𩳤,𩲒,simplified
𩴆,𱆖,simplified
𩴌,𩴵,traditional
𩴵,𩴌,simplified
𩵚,𬶂,simplified
𩵦,𫠏,simplified
𩵩,𩽺,simplified
𩵱,𬶉,simplified
𩵳,𮹓,simplified
𩵹,𩽻,simplified
𩵺,𬶈,simplified
𩶀,𬶅,simplified
𩶁,𫚎,simplified
𩶘,䲞,simplified
𩶯,𱇫,simplified
𩶰,𩽿,simplified
𩶱,𩽽,simplified
𩷒,𬶒,simplified
𩷓,鿵,simplified
𩷕,鿶,simplified
𩷰,𩾄,simplified
𩷶,𱇮,simplified
𩸃,𩾅,simplified
𩸄,𫚝,simplified
𩸆,𬶖,simplified
𩸡,𫚟,simplified
𩸣,𬶙,simplified
𩸤,𬶚,simplified
𩸦,𩾆,simplified
𩸩,𬶝,simplified
𩸬,𬶜,simplified
𩹂,𱈃,simplified
𩹊,𬶦,simplified
𩹎,鿷,simplified
𩹝,𬶡,simplified
𩹽,𬶩,simplified
𩹾,𱇴,simplified
𩺝,𬶪,simplified
𩺞,𱈎,simplified
𩻗,𫚨,simplified
𩻛,𱈔,simplified
𩻧,𬶯,simplified
𩻬,𫚩,simplified
𩻮,𫚘,simplified
𩻰,𬶰,simplified
𩻱,𬶱,simplified
𩼔,𬶶,simplified
𩼶,𫚬,simplified
𩽅,𬶸,simplified
𩽇,𩾎,simplified
𩽈,𬶳,simplified
𩽔,𬶹,simplified
𩽷,𬶻,simplified
𩽹,魥,traditional
𩽺,𩵩,traditional
𩽻,𩵹,traditional
𩽼,鯶,traditional
𩽽,𩶱,traditional
𩽾,鮟,traditional
𩽿,𩶰,traditional
𩾁,鯄,traditional
𩾂,䲖,traditional
𩾃,鮸,traditional
𩾄,𩷰,traditional
𩾅,𩸃,traditional
𩾆,𩸦,traditional
𩾇,鯱,traditional
𩾈,䱙,traditional
𩾊,䱬,traditional
𩾋,䱰,traditional
𩾌,鱇,traditional
𩾎,𩽇,traditional
𩾐,𬷻,simplified
𩾒,𬷽,simplified
𩾝,𱉋,simplified
𩿅,𫠖,simplified
𩿊,𱉒,simplified
𩿣,𩿲,z-variant
𩿤,𫛠,simplified
𩿧,𱉜,simplified
𩿪,𪉄,simplified
𩿱,𬸃,simplified
𩿲,𩿣,z-variant
𩿺,𬸁,simplified
𪀉,𬸂,simplified
𪀖,𫛧,simplified
𪀗,𱉭,simplified
𪀚,𱉣,simplified
𪀛,𬸉,simplified
𪀦,𪉅,simplified
𪀻,𬸋,simplified
𪀾,𪉋,simplified
𪁈,𪉉,simplified
𪁏,𮭦,simplified
𪁐,𬸎,simplified
𪁑,𬸑,simplified
𪁖,𪉌,simplified
𪁛,𱉷,simplified
𪁜,𬸏,simplified
𪁱,𬸐,simplified
𪁿,𬸔,simplified
𪂆,𪉎,simplified
𪂈,𬸖,simplified
𪂩,𬸗,simplified
𪂫,𬸓,simplified
𪃃,𱊔,simplified
𪃍,𪉐,simplified
𪃏,𪉏,simplified
𪃒,𫛻,simplified
𪃦,𬸙,simplified
𪃧,𫛹,simplified
𪃮,𬸟,simplified
𪃿,𬸠,simplified
𪄅,𬸌,simplified
𪄆,𪉔,simplified
𪄕,𪉒,simplified
𪄠,𱊞,simplified
𪄲,𱊥,simplified
𪄳,鿺,simplified
𪅂,𫜂,simplified
𪅃,𬸤,simplified
𪅖,𬸥,simplified
𪅜,𬷿,simplified
𪅾,𬸨,simplified
𪆃,𬸫,simplified
𪆫,𱊨,simplified
𪆰,𬸭,simplified
𪆴,𬸮,simplified
𪆷,𫛾,simplified
𪇄,𬸬,simplified
𪇖,𬸡,simplified
𪇘,𬸍,simplified
𪇰,𱊲,simplified
𪇳,𪉕,simplified
𪈏,𱊴,simplified
𪈔,𱊉,simplified
𪈗,𬸄,simplified
𪈼,𱊜,simplified
𪉂,䲰,traditional
𪉃,鳼,traditional
𪉄,𩿪,traditional
𪉅,𪀦,traditional
𪉆,鴲,traditional
𪉈,鴜,traditional
𪉉,𪁈,traditional
𪉊,鷨,traditional
𪉋,𪀾,traditional
𪉌,𪁖,traditional
𪉍,鵚,traditional
𪉎,𪂆,traditional
𪉏,𪃏,traditional
𪉐,𪃍,traditional
𪉑,鷔,traditional
𪉒,𪄕,traditional
𪉔,𪄆,traditional
𪉕,𪇳,traditional
𪉖,𱊺,simplified
𪉜,𬸵,simplified
𪉣,𱊻,simplified
𪉨,𬸶,simplified
𪉮,𬸷,simplified
𪉱,𬸸,simplified
𪉸,𫜊,simplified
𪉿,𬸹,simplified
𪊉,𱊽,simplified
𪋈,𱋂,traditional
𪋼,𱋅,simplified
𪋽,𱋄,simplified
𪋿,𫧮,simplified
𪌐,𱋉,simplified
𪌒,𮮅,simplified
𪌗,𱋌,simplified
𪌘,𱋍,simplified
𪌜,𪽂,simplified
𪌣,𱋓,simplified
𪌨,𰎴,simplified
𪌬,𱋕,simplified
𪌭,𫜓,simplified
𪌮,𱋘,simplified
𪌯,𬹈,simplified
𪌰,𬹇,simplified
𪌽,𬹋,simplified
𪌾,𱋚,simplified
𪌿,𬹌,simplified
𪍀,𬹊,simplified
𪍇,𱋜,simplified
𪍍,𱋠,simplified
𪍑,𱋢,simplified
𪍒,𱋟,simplified
𪍓,𱋥,simplified
𪍘,𱋤,simplified
𪍚,𱋣,simplified
𪍞,𱋦,simplified
𪍠,𫜕,simplified
𪍣,𱋡,simplified
𪍤,𬹍,simplified
𪍬,𱋨,simplified
𪍴,𱋬,simplified
𪍶,𬹎,simplified
𪍷,𱋑,simplified
𪍿,𱋈,simplified
𪎂,𱋭,simplified
𪎈,䴬,traditional
𪎉,麲,traditional
𪎊,麨,traditional
𪎋,䴴,traditional
𪎌,麳,traditional
𪑅,䵳,traditional
𪑚,𬹗,simplified
𪑳,𬹕,simplified
𪒬,𬹖,simplified
𪒿,𬹘,simplified
𪓛,𱌀,simplified
𪓬,𱌅,simplified
𪓰,𫜟,simplified
𪓹,𱌈,simplified
𪓽,𬹤,simplified
𪔂,鼎,semantic
𪔭,𪔵,traditional
𪔵,𪔭,simplified
