hanzi,other_hanzi,relation
䚞,𰴤,simplified
䚩,𫌯,simplified
䚳,𬣛,simplified
䚵,𬣟,simplified
䚶,訞,spoofing
䚽,𬣜,simplified
䛀,𰵐,simplified
䛄,𫍠,simplified
䛌,𰵜,simplified
䛍,𬣧,simplified
䛓,譼,traditional
䛘,𬣯,simplified
䛛,𬣬,simplified
䛞,𬣸,simplified
䛠,𰵫,simplified
䛡,話,semantic
䛤,𬣹,simplified
䛬,𬤁,simplified
䛭,𰵰,simplified
䛳,𫍫,simplified
䛴,𮷈,simplified
䛻,誘,semantic
䛼,譭,semantic
䛽,𬤌,simplified
䛿,𬤑,simplified
䜀,䜧,simplified
䜄,𰶈,simplified
䜉,𬤘,simplified
䜊,嘈,semantic
䜋,𬤉,simplified
䜍,𬤟,simplified
䜎,𬣿,simplified
䜏,𰶇,simplified
䜒,𬤡,simplified
䜖,𫟢,simplified
䜚,𬤪,simplified
䜝,𬤬,simplified
䜣,訢,traditional
䜤,鿁,traditional
䜥,𧩙,traditional
䜧,䜀,traditional
䜩,讌,traditional
䜶,豇,semantic
䝋,豵,semantic
䝏,𰶬,simplified
䝕,𬥄,simplified
䝙,貙,traditional
䝜,狻,semantic
䝤,獠,semantic
䝭,𫎧,simplified
䝯,𬥵,simplified
䝻,𧹕,simplified
䝼,䞍,simplified
䞀,𬥽,simplified
䞁,𬥺,simplified
䞂,𬥻,simplified
䞈,𧹑,simplified
䞉,𰷩,simplified
䞋,𫎪,simplified
䞌,𧵳,traditional
䞍,䝼,traditional
䞎,𧶧,traditional
䞐,賰,traditional
䞓,赬,semantic
䞓,𫎭,simplified
䞶,𬦅,simplified
䟃,𫎺,simplified
䟆,𫎳,simplified
䟏,𰷴,simplified
䟐,𫎱,simplified
䟢,躎,traditional
䟺,𬦥,simplified
䠆,𫏃,simplified
䠊,剕,semantic
䠟,𰸈,simplified
䠠,𰸛,simplified
䠩,𰸊,simplified
䠮,𬧃,simplified
䠱,躅,semantic
䠱,𨅛,simplified
䡁,𬧢,simplified
䡄,𮷖,simplified
䡅,𰹳,simplified
䡇,𰹷,simplified
䡊,𰹺,simplified
䡐,𫟤,simplified
䡗,𬨆,simplified
䡘,𬨉,simplified
䡝,𰺑,simplified
䡟,𬨌,simplified
䡦,𬨑,simplified
䡩,𫟥,simplified
䡰,𰺘,simplified
䡴,𰺝,simplified
䡵,𫟦,simplified
䡶,𬨔,simplified
䡷,𰺡,simplified
䡻,𰺤,simplified
䡾,𰺠,simplified
䢀,𨊰,traditional
䢁,𨊸,traditional
䢂,𨋢,traditional
䢈,𰺭,simplified
䢙,敗,semantic
䢜,歸,semantic
䢨,𨑹,simplified
䢴,邗,spoofing
䣩,醇,semantic
䤌,𮠞,simplified
䤍,𨢥,semantic
䤍,𰼑,simplified
䤠,鍺,semantic
䤠,𰽠,simplified
䤤,𫟺,simplified
䤥,𰽺,simplified
䤨,𰽸,simplified
䤩,𬭈,simplified
䤪,𬭆,simplified
䤬,𰾈,simplified
䤭,𮸌,simplified
䤵,𰾐,simplified
䤸,𰾦,simplified
䤻,𰾖,simplified
䤼,𬭣,simplified
䥀,捵,semantic
䥄,𫠀,simplified
䥇,䦂,simplified
䥑,鿏,simplified
䥓,𮸞,simplified
䥕,𬭯,simplified
䥖,𰾻,simplified
䥗,𫔋,simplified
䥛,𬭴,simplified
䥝,𰿁,simplified
䥞,𬭻,simplified
䥨,鑢,semantic
䥩,𨱖,simplified
䥪,𮸗,semantic
䥯,𫔆,simplified
䥱,䥾,simplified
䥴,𰿅,simplified
䥶,𰽝,simplified
䥷,㔍,semantic
䥷,𰿇,simplified
䥸,𨧮,simplified
䥺,釾,traditional
䥽,鏺,traditional
䥾,䥱,traditional
䥿,𨯅,traditional
䦀,𨦫,traditional
䦁,𨧜,traditional
䦂,䥇,traditional
䦃,鐯,traditional
䦅,鐥,traditional
䦆,钁,traditional
䦌,𮤬,simplified
