"hanzi","part_symbol","relation","position"
"価","覀","component","2"
"侢","亻","component","1"
"侢","再","component","2"
"侣","亻","component","1"
"侣","吕","component","2"
"侤","亻","component","1"
"侤","考","component","2"
"侥","亻","component","1"
"侥","尧","component","2"
"侦","亻","component","1"
"侦","贞","component","2"
"侧","亻","component","1"
"侧","则","component","2"
"侨","乔","component","2"
"侨","亻","component","1"
"侩","亻","component","1"
"侩","会","component","2"
"侪","亻","component","1"
"侪","齐","component","2"
"侫","亻","component","1"
"侫","妄","component","2"
"侬","亻","component","1"
"侬","农","component","2"
"侭","亻","component","1"
"侭","尽","component","2"
"侮","亻","component","1"
"侮","每","component","2"
"侯","亻","component","1"
"侰","亻","component","1"
"侰","君","component","2"
"侱","亻","component","1"
"侱","呈","component","2"
"侲","亻","component","1"
"侲","辰","component","2"
"侳","亻","component","1"
"侳","坐","component","2"
"侴","亼","component","1"
"侵","亻","component","1"
"侶","亻","component","1"
"侶","呂","component","2"
"侷","亻","component","1"
"侷","局","component","2"
"侸","亻","component","1"
"侸","豆","component","2"
"侹","亻","component","1"
"侹","廷","component","2"
"侺","亻","component","1"
"侺","岑","component","2"
"侻","亻","component","1"
"侻","兌","component","2"
"侼","亻","component","1"
"侼","孛","component","2"
"侽","亻","component","1"
"侽","男","component","2"
"侾","亻","component","1"
"侾","孝","component","2"
"便","亻","component","1"
"便","更","component","2"
"俀","亻","component","1"
"俀","妥","component","2"
"俁","亻","component","1"
"俁","吳","component","2"
"係","亻","component","1"
"係","系","component","2"
"促","亻","component","1"
"促","足","component","2"
"俄","亻","component","1"
"俄","我","component","2"
"俅","亻","component","1"
"俅","求","component","2"
"俆","亻","component","1"
"俆","余","component","2"
"俇","亻","component","1"
"俇","狂","component","2"
"俈","亻","component","1"
"俈","告","component","2"
"俉","亻","component","1"
"俉","吾","component","2"
"俊","亻","component","1"
"俊","夋","component","2"
"俋","亻","component","1"
"俋","邑","component","2"
"俌","亻","component","1"
"俌","甫","component","2"
"俍","亻","component","1"
"俍","良","component","2"
"俎","且","component","2"
"俎","仌","component","1"
"俏","亻","component","1"
"俏","肖","component","2"
"俐","亻","component","1"
"俐","利","component","2"
"俑","亻","component","1"
"俑","甬","component","2"
"俒","亻","component","1"
"俒","完","component","2"
"俓","亻","component","1"
"俓","巠","component","2"
"俔","亻","component","1"
"俔","見","component","2"
"俕","亻","component","1"
"俕","宋","component","2"
"俖","亻","component","1"
"俖","否","component","2"
"俗","亻","component","1"
"俗","谷","component","2"
"俘","亻","component","1"
"俘","孚","component","2"
"俙","亻","component","1"
"俙","希","component","2"
"俚","亻","component","1"
"俚","里","component","2"
"俛","亻","component","1"
"俛","免","component","2"
"俜","亻","component","1"
"俜","甹","component","2"
"保","亻","component","1"
"保","呆","component","2"
"俞","亼","component","1"
"俞","刖","component","2"
"俟","亻","component","1"
"俟","矣","component","2"
"俠","亻","component","1"
"俠","夾","component","2"
"信","亻","component","1"
"信","言","component","2"
"俢","亻","component","1"
"俢","㣊","component","2"
"俣","亻","component","1"
"俣","吴","component","2"
"俤","亻","component","1"
"俤","弟","component","2"
"俥","亻","component","1"
"俥","車","component","2"
"俦","亻","component","1"
"俦","寿","component","2"
"俧","亻","component","1"
"俧","志","component","2"
"俨","严","component","2"
"俨","亻","component","1"
"俩","两","component","2"
"俩","亻","component","1"
"俪","丽","component","2"
"俪","亻","component","1"
"俫","亻","component","1"
"俫","来","component","2"
"俬","亻","component","1"
"俬","私","component","2"
"俭","亻","component","1"
"俭","佥","component","2"
"修","彡","component","2"
"修","攸","component","1"
"俯","亻","component","1"
"俯","府","component","2"
"俰","亻","component","1"
"俰","和","component","2"
"俱","亻","component","1"
"俱","具","component","2"
"俲","亻","component","1"
"俲","効","component","2"
"俳","亻","component","1"
"俳","非","component","2"
"俴","亻","component","1"
"俴","戔","component","2"
"俵","亻","component","1"
"俵","表","component","2"
"俶","亻","component","1"
"俶","叔","component","2"
"俷","亻","component","1"
"俷","肥","component","2"
"俸","亻","component","1"
"俸","奉","component","2"
"俹","亞","component","2"
"俹","亻","component","1"
"俺","亻","component","1"
"俺","奄","component","2"
"俻","亻","component","1"
"俻","备","component","2"
"俼","亻","component","1"
"俼","育","component","2"
"俽","亻","component","1"
"俽","欣","component","2"
"俾","亻","component","1"
"俾","卑","component","2"
"俿","亻","component","1"
"俿","虎","component","2"
"倀","亻","component","1"
"倀","長","component","2"
"倁","亻","component","1"
"倁","知","component","2"
"倂","亻","component","1"
"倂","幷","component","2"
"倃","亻","component","1"
"倃","咎","component","2"
"倄","亻","component","1"
"倄","肴","component","2"
"倅","亻","component","1"
"倅","卒","component","2"
"倆","亻","component","1"
"倆","兩","component","2"
"倇","亻","component","1"
"倇","宛","component","2"
"倈","亻","component","1"
"倈","來","component","2"
"倉","囗","component","2"
"倉","食","component","1"
"倊","亻","component","1"
"倊","忩","component","2"
"個","亻","component","1"
"個","固","component","2"
"倌","亻","component","1"
"倌","官","component","2"
"倍","亻","component","1"
"倍","咅","component","2"
"倎","亻","component","1"
"倎","典","component","2"
"倏","攸","component","1"
"倏","犬","component","2"
"倐","攸","component","1"
"倐","火","component","2"
"們","亻","component","1"
"們","門","component","2"
"倒","亻","component","1"
"倒","到","component","2"
"倓","亻","component","1"
"倓","炎","component","2"
"倔","亻","component","1"
"倔","屈","component","2"
"倕","亻","component","1"
"倕","垂","component","2"
"倖","亻","component","1"
"倖","幸","component","2"
"倗","亻","component","1"
"倗","朋","component","2"
"倘","亻","component","1"
"倘","尚","component","2"
"候","亻","component","1"
"候","侯","component","2"
"倚","亻","component","1"
"倚","奇","component","2"
"倛","亻","component","1"
"倛","其","component","2"
"倜","亻","component","1"
"倜","周","component","2"
"倝","人","component","1"
"倞","京","component","2"
"倞","亻","component","1"
"借","亻","component","1"
"借","昔","component","2"
"倠","亻","component","1"
"倠","隹","component","2"
"倡","亻","component","1"
"倡","昌","component","2"
"倢","亻","component","1"
"倢","疌","component","2"
"倣","亻","component","1"
"倣","放","component","2"
"値","亻","component","1"
"値","直","component","2"
"倥","亻","component","1"
"倥","空","component","2"
"倦","亻","component","1"
"倦","卷","component","2"
"倧","亻","component","1"
"倧","宗","component","2"
"倨","亻","component","1"
"倨","居","component","2"
"倩","亻","component","1"
"倩","靑","component","2"
"倪","亻","component","1"
"倪","兒","component","2"
"倫","亻","component","1"
"倫","侖","component","2"
"倬","亻","component","1"
"倬","卓","component","2"
"倭","亻","component","1"
"倭","委","component","2"
"倮","亻","component","1"
"倮","果","component","2"
"倯","亻","component","1"
"倯","松","component","2"
"倰","亻","component","1"
"倰","夌","component","2"
"倱","亻","component","1"
"倱","昆","component","2"
"倲","亻","component","1"
"倲","東","component","2"
"倳","事","component","2"
"倳","亻","component","1"
"倴","亻","component","1"
"倴","奔","component","2"
"倵","亻","component","1"
"倵","武","component","2"
"倶","亻","component","1"
"倶","具","component","2"
"倷","亻","component","1"
"倷","奈","component","2"
"倸","亻","component","1"
"倸","采","component","2"
"倹","亻","component","1"
"倹","㑒","component","2"
"债","亻","component","1"
"债","责","component","2"
"倻","亻","component","1"
"倻","耶","component","2"
"值","亻","component","1"
"值","直","component","2"
"倽","亻","component","1"
"倽","舍","component","2"
"倾","亻","component","1"
"倾","顷","component","2"
"倿","亻","component","1"
"倿","妾","component","2"
"偀","亻","component","1"
"偀","英","component","2"
"偁","亻","component","1"
"偁","爯","component","2"
"偂","亻","component","1"
"偂","前","component","2"
"偃","亻","component","1"
"偃","匽","component","2"
"偄","亻","component","1"
"偄","耎","component","2"
"偅","亻","component","1"
"偅","重","component","2"
"偆","亻","component","1"
"偆","春","component","2"
"假","亻","component","1"
"假","叚","component","2"
"偈","亻","component","1"
"偈","曷","component","2"
"偉","亻","component","1"
"偉","韋","component","2"
"偊","亻","component","1"
"偊","禹","component","2"
"偋","亻","component","1"
"偋","屏","component","2"
"偌","亻","component","1"
"偌","若","component","2"
"偍","亻","component","1"
"偍","是","component","2"
"偎","亻","component","1"
"偎","畏","component","2"
"偏","亻","component","1"
"偏","扁","component","2"
"偐","亻","component","1"
"偐","彦","component","2"
"偑","亻","component","1"
"偑","風","component","2"
"偒","亻","component","1"
"偒","昜","component","2"
"偓","亻","component","1"
"偓","屋","component","2"
"偔","亻","component","1"
"偔","咢","component","2"
"偕","亻","component","1"
"偕","皆","component","2"
"偖","亻","component","1"
"偖","者","component","2"
"偗","亻","component","1"
"偗","省","component","2"
"偘","亻","component","1"
"偘","品","component","2"
"偙","亻","component","1"
"偙","帝","component","2"
"做","亻","component","1"
"做","故","component","2"
"偛","亻","component","1"
"偛","臿","component","2"
"停","亭","component","2"
"停","亻","component","1"
"偝","亻","component","1"
"偝","背","component","2"
"偞","亻","component","1"
"偞","枼","component","2"
"偟","亻","component","1"
"偟","皇","component","2"
"偠","亻","component","1"
"偠","要","component","2"
"偡","亻","component","1"
"偡","甚","component","2"
"偢","亻","component","1"
"偢","秋","component","2"
"偣","亻","component","1"
"偣","音","component","2"
"偤","亻","component","1"
"偤","酋","component","2"
"健","亻","component","1"
"健","建","component","2"
"偦","亻","component","1"
"偦","胥","component","2"
"偧","亻","component","1"
"偧","奓","component","2"
"偨","亻","component","1"
"偨","柴","component","2"
"偩","亻","component","1"
"偩","負","component","2"
"偪","亻","component","1"
"偪","畐","component","2"
"偫","亻","component","1"
"偫","待","component","2"
"偬","亻","component","1"
"偬","怱","component","2"
"偭","亻","component","1"
"偭","面","component","2"
"偮","亻","component","1"
"偮","咠","component","2"
"偯","亻","component","1"
"偯","哀","component","2"
"偰","亻","component","1"
"偰","契","component","2"
"偱","亻","component","1"
"偱","盾","component","2"
"偲","亻","component","1"
"偲","思","component","2"
"偳","亻","component","1"
"偳","耑","component","2"
"側","亻","component","1"
"側","則","component","2"
"偵","亻","component","1"
"偵","貞","component","2"
"偶","亻","component","1"
"偶","禺","component","2"
"偷","亻","component","1"
"偷","俞","component","2"
"偸","亻","component","1"
"偸","兪","component","2"
"偹","攸","component","1"
"偹","田","component","2"
"偺","亻","component","1"
"偺","昝","component","2"
"偻","亻","component","1"
"偻","娄","component","2"
"偼","亻","component","1"
"偼","疌","component","2"
"偽","亻","component","1"
"偽","為","component","2"
"偾","亻","component","1"
"偾","贲","component","2"
"偿","亻","component","1"
"偿","尝","component","2"
"傀","亻","component","1"
"傀","鬼","component","2"
"傁","亻","component","1"
"傁","叟","component","2"
"傂","亻","component","1"
"傂","虒","component","2"
"傃","亻","component","1"
"傃","素","component","2"
"傄","亻","component","1"
"傄","眘","component","2"
"傅","亻","component","1"
"傅","尃","component","2"
"傆","亻","component","1"
"傆","原","component","2"
